cat,make,lot,wet,log,run,lip,tub,bed,sound,light,class,muck,bubble,zone,butt,wig,track,star,mad,cup,book,rain,pan,fit,lag,jet,itch,dam,foam,dote,pout,feet,mail,leek,flute,like,pool,mall,led,bank,fire,air,code,cow,low,true ,skunk,swing,nose,mouse,tub,glide,fly,owl,spoon,bull,yellow,wish,sand,dart,clap,power,pen,say
rat,rake,shot,net,hog,fun,sip,rub,ted,hound,bright,grass,duck,trouble,phone ,hut,jig,smack,car,sad,pup,cook,train,can,kit,tag,met,mitch,DAAAMN,loam,moat,shout,meat,hail,meek,toot,mike,bool,fall,bed,tank,tire,tear,mode,how,throw,cue,hunk,ping,toes,house,rub,slide,high,howl,toon,pull,mellow,fish,band,fart,slap,shower,ben,hay
pat,shake,pot,pet,bog,gun,tip,cub,red,found,night,mass,FUCK,double,loan,nut,fig,hack,far,had,up,took,pain,fan,TIT,shag,let,pitch,ham,home,coat,lout,meet,kale,seek,moot,bike,tool,tall,fed,hank,hire,share,load,pow,show,hue,bunk,king,rose,louse,sub,hide,shy,growl,loon,full,fellow,dish,hand,SHART,flap,flower,hen,lay
fat,lake,cot,let,fog,shun,hip,sub,led,pound,sight,pass,buck,,moan,mutt,dig,mack,tar,pad,,hook,lane,tan,hit,nag,pet,BIIIIITCH,jam,tome,note,,heat,fail,teak,shoot,trike,fool,hall,head,SHANK,lyre,hare,toad,now,hoe,shoe,lunk,ring,hose,,cub,tide,tie,towel,ruin,lull,,,land,heart,snap,flour,men,may
at,take,hot,,frog,,ship,,fed,,fight,,shuck,,shown,shut,pig,lack,par,fad,,look,shane,ban,lit,hag,,,sham,,,,YEET,male,,cute,,cool,call,red,thank,mire,hair,,,mow,,punk,,pose,,,ride,my,fowel,,null,,,and,start,trap,tower,ten,okay
mat,fake,dot,,dog,,,,,,might,,luck,,cone,tut,,tack,jar,lad,,nook,chain,,SHIT,,,,lamb,,,,sheet,shale,,suit,,yule,ball,,lank,,mare,,,tow,,,,,,,chide,lie,foul,,cull,,,,mart,wrap,dour,zen,
bat,snake,THOT,,jog,,,,,,SHITE,,tuck,,bone,,,shack,mar,,,shook,brain,,knit,,,,am,,,,seat,pale,,hoot,,mule,all,,spank,,lair,,,,,,,,,,wide,pie,bowel,,dull,,,,cart,map,,,
sat,bake,rot,,,,,,,,kite,,truck,,tone,,,pack,,,,,lane,,pit,,,,,,,,beet,nail,,fruit,,,pall,,rank,,care,,,,,,,,,,,hi,,,,,,,bart,gap,,,
SHAT,cake,jot,,,,,,,,bite,,,,,,,sack,,,,,cane,,,,,,,,,,beat,tail,,,,,gall,,,,fair,,,,,,,,,,,nigh,,,,,,,tart,cap,,,
,,not,,,,,,,,knight,,,,,,,,,,,,mane,,,,,,,,,,cleat,,,,,,wall,,,,bear,,,,,,,,,,,bye,,,,,,,,lap,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chair,,,,,,,,,,,why,,,,,,,,nap,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rye,,,,,,,,rap,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chai,,,,,,,,tap,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,die,,,,,,,,zap,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sky,,,,,,,,yap,,,
